TOI,TIC,Full TOI ID,TOI Disposition,TIC Right Ascension,TIC Declination,TMag Value,Orbital Period Value,Transit Depth Value,Surface Gravity Value,Planet Radius Value,Night,Effective Temperature Value
1452,420112589,1452.01,CP,290.173857518221,73.1954264464604,12.295,11.0619937445918,3249.11643336922,4.95407,1.61849437577191,200807,3248.0
1453,198390247,1453.01,PC,258.2238348,57.197778,10.143,6.58868,899.0,4.64,2.13501,210322,4920.0
1453,198390247,1453.02,PC,258.2238348,57.197778,10.143,4.3135116,285.0,4.64,1.18824,210322,4920.0
1466,237086564,1466.01,PC,307.395885514864,61.550432632946,11.0278,1.8718991,920.0,4.5079,2.40733,210323,4201.0
1470,284441182,1470.01,PC,10.0887087707778,61.2136262085634,11.4752,2.52728224243905,1847.4872235657,4.74607,2.2007181499311,200225,3624.0
1475,431514478,1475.01,PC,357.001182008044,49.7905348073279,8.77994,8.49535132634527,718.486944789073,4.29876,5.29616992031407,240122,10012.0
1478,409794137,1478.01,CP,126.4337795,-13.559841,10.204,10.1802014,11500.0,4.4,12.3422,200225,5623.0
1503,428065977,1503.01,EB,339.120292,52.1157589,10.235,1.6534102,600.0,4.29,6.07704,210929,6928.0
1546,194203348,1546.01,PC,1.1969593,41.5940059,9.877,1.13345,490.0,4.23,3.03424,210929,6223.0
1548,440100539,1548.01,PC,4.358048,42.2823233,8.728,12.6017,800.0,4.3,3.34292,210929,5861.6
1551,288348498,1551.01,PC,19.700452,41.5061836,9.967,1.67546,1250.0,4.09,6.44889,240124,6745.5
1609,229951289,1609.01,PC,288.6754488,60.6710314,10.257,13.3118,750.0,4.5,2.67981,200226,6011.0
1610,219776325,1610.01,PC,263.5433843,61.1212902,10.373,2.5288078,364.0,4.3,2.44479,200226,5740.2
1611,264678534,1611.01,CP,325.1865933,84.3334897,7.582,16.2017359,910.0,4.58,2.42374,200226,5071.0
1621,387260717,1621.01,PC,309.3486846,70.9541754,9.976,6.453624,200.0,4.64,1.35756,200226,7257.0
1640,396562848,1640.01,CP,44.3260796956173,76.5531250821211,11.0548,1.94954033783942,2089.24441152356,4.97292,1.39292173370646,200225,3414.0
1641,422923265,1641.01,PC,40.2455752920843,42.8712762407966,9.616,1.8646725,570.0,3.77846,12.8352,240122,9898.0
1648,376353509,1648.01,PC,45.4009812,69.2299001,9.583,7.3315597,858.0,4.48,2.6278,200226,4871.6
1654,258829450,1654.01,PC,287.666213,66.768185,9.697,1.8347927,235.0,,,200226,5286.9
1655,266500992,1655.01,PC,61.1721924,52.2570638,10.331,3.2786557,1024.0,4.29,3.63296,200225,5411.0
1664,353782445,1664.01,PC,276.937951,55.755661,9.167,11.8351133,307.0,5.06078,3.1253,200226,6225.0
1669,428679607,1669.01,PC,45.952938,83.5875756,9.529,2.680061,479.0,4.37,2.34221,210323,5550.0
1672,468828873,1672.01,EB,91.872262,66.8578545,10.045,3.8954139,911.0,3.94,5.15915,200226,6064.0
1681,321041369,1681.01,PC,81.6713507,56.9635905,10.444,1.5379289,1112.0,4.51,8.379,200226,5672.5
1683,58542531,1683.01,PC,65.9797284,27.8225464,9.794,3.0575286,1185.0,4.59,2.4623,200225,4402.0
1684,85031598,1684.01,PC,65.3458001,62.2457543,7.354,1.1549928,809.0,,9.37111,200226,4815.0
