#Gc logAge [M/H] m_ini   logL   logTe logg  m-M0   Av    m2/m1 mbol   V      u      v      b      y      Hb_w   Hb_n     Mact
 1   9.07  0.07  0.88802 -0.392 3.712  4.573  8.90  0.109 0.00 14.649 14.948 17.672 16.431 15.464 14.914 15.207 12.077  0.888 
 1   9.07  0.11  1.23672  0.355 3.798  4.312  8.80  0.117 0.00 12.683 12.791 14.695 13.711 13.145 12.773 12.959  9.876  1.237 
 1   9.07  0.19  1.60279  0.882 3.835  4.045 10.00  0.102 0.00 12.564 12.614 14.434 13.349 12.889 12.597 12.750  9.711  1.603 
 1   9.07  0.25  0.80209 -0.636 3.673  4.616  9.80  0.141 0.71 15.914 16.551 19.978 18.391 17.179 16.491 16.902 13.744  0.802 
 1   9.09 -0.21  1.31858  0.607 3.844  4.274  8.20  0.130 0.00 11.453 11.570 13.251 12.242 11.833 11.553 11.703  8.669  1.319 
 1   9.09 -0.21  0.75493 -0.651 3.686  4.656  9.40  0.094 0.00 15.798 16.209 19.149 17.801 16.755 16.164 16.495 13.347  0.755 
 1   9.09 -0.11  1.06765  0.063 3.776  4.452  9.40  0.148 0.00 14.012 14.195 16.170 15.217 14.595 14.176 14.386 11.282  1.068 
 1   9.09  0.21  1.87398  1.204 3.811  3.695  8.70  0.114 0.89  9.962 10.029 11.959 10.841 10.336 10.011 10.177  7.123  1.874 
 1   9.09  0.33  1.01047 -0.134 3.742  4.488 10.20  0.130 0.00 15.305 15.519 18.028 16.875 16.002 15.494 15.753 12.642  1.010 
 1   9.11 -0.43  1.43512  0.882 3.884  4.197 11.30  0.141 0.00 13.866 13.994 15.671 14.515 14.180 13.978 14.108 11.136  1.435 
 1   9.11 -0.23  0.47502 -1.402 3.604  4.877  6.60  0.083 0.00 14.875 15.840 19.651 17.894 16.639 15.775 16.333 13.151  0.475 
 1   9.11 -0.21  1.58490  1.015 3.870  4.051 10.30  0.123 0.71 12.368 12.464 14.192 13.062 12.686 12.447 12.585  9.580  1.585 
 1   9.11 -0.05  1.29048  0.501 3.820  4.275 10.90  0.127 0.00 14.418 14.532 16.293 15.316 14.841 14.514 14.680 11.617  1.290 
 1   9.11  0.07  0.93501 -0.278 3.728  4.544  9.40  0.120 0.00 14.865 15.116 17.650 16.493 15.608 15.089 15.358 12.237  0.935 
 1   9.11  0.07  1.31353  0.503 3.813  4.250  9.50  0.116 0.74 12.816 12.931 14.827 13.823 13.275 12.912 13.096 10.020  1.314 
 1   9.11  0.09  0.98626 -0.162 3.742  4.510  8.50  0.109 0.00 13.675 13.873 16.238 15.146 14.337 13.850 14.098 10.982  0.986 
 1   9.11  0.11  0.76524 -0.714 3.666  4.645  9.90  0.128 0.94 15.847 16.469 19.924 18.327 17.094 16.406 16.822 13.652  0.765 
 1   9.11  0.15  1.30590  0.469 3.806  4.255  8.30  0.083 0.80 11.610 11.691 13.630 12.625 12.045 11.672 11.858  8.776  1.306 
 1   9.11  0.21  0.99482 -0.168 3.737  4.499 10.50  0.143 0.00 15.690 15.933 18.441 17.291 16.421 15.908 16.172 13.057  0.995 
 1   9.13 -0.19  0.77101 -0.613 3.691  4.646  9.00  0.144 0.00 15.302 15.737 18.649 17.319 16.286 15.694 16.025 12.881  0.771 
 1   9.13 -0.15  1.29952  0.558 3.833  4.273  9.50  0.123 0.00 12.875 12.985 14.689 13.702 13.267 12.968 13.123 10.075  1.300 
 1   9.13 -0.05  1.13810  0.200 3.788  4.394 10.80  0.130 0.00 15.069 15.215 17.121 16.167 15.588 15.197 15.392 12.298  1.138 
 1   9.13 -0.01  0.96302 -0.186 3.742  4.520  9.90  0.107 0.00 15.134 15.338 17.664 16.588 15.797 15.314 15.561 12.443  0.963 
 1   9.13 -0.01  1.69185  1.074 3.840  3.899 11.70  0.128 0.70 13.616 13.707 15.522 14.423 13.983 13.690 13.844 10.803  1.692 
 1   9.13  0.01  1.22033  0.359 3.802  4.318  8.30  0.110 0.00 12.173 12.277 14.115 13.155 12.620 12.259 12.439  9.356  1.220 
 1   9.13  0.05  0.89567 -0.365 3.717  4.569  8.50  0.104 0.70 13.982 14.335 17.064 15.826 14.861 14.299 14.605 11.472  0.896 
 1   9.13  0.05  1.39527  0.645 3.825  4.184  8.80  0.119 0.71 11.793 11.897 13.733 12.714 12.214 11.879 12.051  8.987  1.395 
